syllable,p_stressed,p_long
sern,0.050000030011248704,0.142974261798714
schwärmt,0.7481710380250441,0.7481710380250441
schwing',0.6472669808916733,0.6472669808916733
thryos,0.6666666666666666,0.6666666666666666
fecht,0.9642020927503077,0.9642024121372897
fan,0.9666642986144203,0.9666643048125397
schaut',0.9653828693622899,0.9653828693625369
wü,0.98437497873831,0.9843749801373919
sitz,0.9158015234365857,0.916435230219297
wei,0.996987303756624,0.9969874561245446
jäh,0.9223948820177095,0.923076391334794
sthe,0.8660261353656907,0.8660262036449304
aph,0.27531324615750485,0.27531324615750485
mahn',0.8568888935489066,0.8568888935489163
gönn,0.7999999498055425,0.7999999498055437
schmerz,0.9766617697259223,0.9766698392838989
konnt',0.9279872889975521,0.9366891269956832
merk',0.749923423993998,0.7499234419753043
sühn,0.8518428408121723,0.8518428408121723
scheucht',0.8749927025274703,0.8749927025274703
licht,0.8017543177901961,0.9559382330537365
fig,0.05263179534857195,0.33720755644455364
gruß,0.666587571669206,0.666587571669206
far,0.8999927463069277,0.8999927463228647
winds,0.4,0.6666666666666667
glatt,0.6666666666666666,0.6666666666666666
sollst,0.9087141917146832,0.9087141917146832
gehr',0.799954161584572,0.799954161584572
bohrt,0.9162640184056998,0.9162640184060025
bocks,0.3333333333333333,0.5
mus,0.4999999978144059,0.7999974401570776
thym,0.25015773513546424,0.500157520101169
kreis',0.8748963405757706,0.8748969945796796
wollt',0.8568861002715313,0.8568861328819107
chia,0.6636603163258298,0.6666646974858459
schlaf,0.9665974793048363,0.9665974798816184
melnd,0.14766009206063713,0.3445403530609111
hert,0.16668278270034967,0.25002417405018046
räd,0.6666662907232092,0.6666662907232102
dach,0.9523755170061637,0.9523755171195674
gleich,0.9318527162613803,0.9975044705904441
tobt,0.7638114572770052,0.9274853409900027
hört,0.9499622881061216,0.9499812648774763
lod,0.6666666666666666,0.6666666666666666
gels,0.1671268504440843,0.5018011627313702
höh,0.9090897639940899,0.9090897640064677
daurt,0.6666666666227337,0.6666666666227337
weih',0.66607838476676,0.66607838476676
such',0.874692951687944,0.8746929516971682
staub',0.7484456311499201,0.7484456311499201
then',0.94636424827665,0.9463644874535072
schenkt,0.7776364806491806,0.8887378914778841
schwer',0.6661308579719293,0.6666203015170734
schläng',0.7499956088465337,0.7499956088465337
sals,0.16666666666666666,0.666126043562616
stri,0.6000000000000001,0.6000000000000001
hofft',0.9224051400759409,0.9225091003377861
